service_id,date,exception_type,exception_note,schedule_type
63919,20170309,1,FINAL,WD
63896,20170309,1,FINAL,WD
63897,20170309,1,FINAL,WD
64032,20170309,1,PRODUCTION,WD
63953,20170309,1,Schedule #105,WD
63917,20170310,1,FINAL,WD
63898,20170310,1,FINAL,WD
63893,20170310,1,FINAL,WD
63919,20170310,1,FINAL,WD
63896,20170310,1,FINAL,WD
63897,20170310,1,FINAL,WD
64032,20170310,1,PRODUCTION,WD
63953,20170310,1,Schedule #105,WD
63918,20170311,1,FINAL,SA
63894,20170311,1,FINAL,SA
63920,20170311,1,FINAL,SA
64033,20170311,1,PRODUCTION,SA
63954,20170311,1,Schedule #105,SA
63895,20170312,1,FINAL,SU
63921,20170312,1,FINAL,SU
64034,20170312,1,PRODUCTION,SU
63955,20170312,1,Schedule #105,SU
63917,20170313,1,FINAL,WD
63898,20170313,1,FINAL,WD
63893,20170313,1,FINAL,WD
63919,20170313,1,FINAL,WD
63896,20170313,1,FINAL,WD
63897,20170313,1,FINAL,WD
64032,20170313,1,PRODUCTION,WD
63953,20170313,1,Schedule #105,WD
63917,20170314,1,FINAL,WD
63898,20170314,1,FINAL,WD
63893,20170314,1,FINAL,WD
63919,20170314,1,FINAL,WD
63896,20170314,1,FINAL,WD
63897,20170314,1,FINAL,WD
64032,20170314,1,PRODUCTION,WD
63953,20170314,1,Schedule #105,WD
63917,20170315,1,FINAL,WD
63898,20170315,1,FINAL,WD
63893,20170315,1,FINAL,WD
63919,20170315,1,FINAL,WD
63896,20170315,1,FINAL,WD
63897,20170315,1,FINAL,WD
64032,20170315,1,PRODUCTION,WD
63953,20170315,1,Schedule #105,WD
63917,20170316,1,FINAL,WD
63898,20170316,1,FINAL,WD
63893,20170316,1,FINAL,WD
63919,20170316,1,FINAL,WD
63896,20170316,1,FINAL,WD
63897,20170316,1,FINAL,WD
64032,20170316,1,PRODUCTION,WD
63953,20170316,1,Schedule #105,WD
63917,20170317,1,FINAL,WD
63898,20170317,1,FINAL,WD
63893,20170317,1,FINAL,WD
63919,20170317,1,FINAL,WD
63896,20170317,1,FINAL,WD
63897,20170317,1,FINAL,WD
64032,20170317,1,PRODUCTION,WD
63953,20170317,1,Schedule #105,WD
63918,20170318,1,FINAL,SA
63894,20170318,1,FINAL,SA
63920,20170318,1,FINAL,SA
64033,20170318,1,PRODUCTION,SA
63954,20170318,1,Schedule #105,SA
63895,20170319,1,FINAL,SU
63921,20170319,1,FINAL,SU
64034,20170319,1,PRODUCTION,SU
63955,20170319,1,Schedule #105,SU
63917,20170320,1,FINAL,WD
63898,20170320,1,FINAL,WD
63893,20170320,1,FINAL,WD
63919,20170320,1,FINAL,WD
63896,20170320,1,FINAL,WD
63897,20170320,1,FINAL,WD
64032,20170320,1,PRODUCTION,WD
63953,20170320,1,Schedule #105,WD
63917,20170321,1,FINAL,WD
63898,20170321,1,FINAL,WD
63893,20170321,1,FINAL,WD
63919,20170321,1,FINAL,WD
63896,20170321,1,FINAL,WD
63897,20170321,1,FINAL,WD
64032,20170321,1,PRODUCTION,WD
63953,20170321,1,Schedule #105,WD
63917,20170322,1,FINAL,WD
63898,20170322,1,FINAL,WD
63893,20170322,1,FINAL,WD
63919,20170322,1,FINAL,WD
63896,20170322,1,FINAL,WD
63897,20170322,1,FINAL,WD
64032,20170322,1,PRODUCTION,WD
63953,20170322,1,Schedule #105,WD
63917,20170323,1,FINAL,WD
63898,20170323,1,FINAL,WD
63893,20170323,1,FINAL,WD
63919,20170323,1,FINAL,WD
63896,20170323,1,FINAL,WD
63897,20170323,1,FINAL,WD
64032,20170323,1,PRODUCTION,WD
63953,20170323,1,Schedule #105,WD
63917,20170324,1,FINAL,WD
63898,20170324,1,FINAL,WD
63893,20170324,1,FINAL,WD
63919,20170324,1,FINAL,WD
63896,20170324,1,FINAL,WD
63897,20170324,1,FINAL,WD
64032,20170324,1,PRODUCTION,WD
63953,20170324,1,Schedule #105,WD
63918,20170325,1,FINAL,SA
63894,20170325,1,FINAL,SA
63920,20170325,1,FINAL,SA
64033,20170325,1,PRODUCTION,SA
63954,20170325,1,Schedule #105,SA
63895,20170326,1,FINAL,SU
63921,20170326,1,FINAL,SU
64034,20170326,1,PRODUCTION,SU
63955,20170326,1,Schedule #105,SU
63917,20170327,1,FINAL,WD
63898,20170327,1,FINAL,WD
63893,20170327,1,FINAL,WD
63919,20170327,1,FINAL,WD
63896,20170327,1,FINAL,WD
63897,20170327,1,FINAL,WD
64032,20170327,1,PRODUCTION,WD
63953,20170327,1,Schedule #105,WD
63917,20170328,1,FINAL,WD
63898,20170328,1,FINAL,WD
63893,20170328,1,FINAL,WD
63919,20170328,1,FINAL,WD
63896,20170328,1,FINAL,WD
63897,20170328,1,FINAL,WD
64032,20170328,1,PRODUCTION,WD
63953,20170328,1,Schedule #105,WD
63917,20170329,1,FINAL,WD
63898,20170329,1,FINAL,WD
63893,20170329,1,FINAL,WD
63919,20170329,1,FINAL,WD
63896,20170329,1,FINAL,WD
63897,20170329,1,FINAL,WD
64032,20170329,1,PRODUCTION,WD
63953,20170329,1,Schedule #105,WD
63917,20170330,1,FINAL,WD
63898,20170330,1,FINAL,WD
63893,20170330,1,FINAL,WD
63919,20170330,1,FINAL,WD
63896,20170330,1,FINAL,WD
63897,20170330,1,FINAL,WD
64032,20170330,1,PRODUCTION,WD
63953,20170330,1,Schedule #105,WD
63917,20170331,1,FINAL,WD
63898,20170331,1,FINAL,WD
63893,20170331,1,FINAL,WD
63919,20170331,1,FINAL,WD
63896,20170331,1,FINAL,WD
63897,20170331,1,FINAL,WD
64032,20170331,1,PRODUCTION,WD
63953,20170331,1,Schedule #105,WD
63918,20170401,1,FINAL,SA
63894,20170401,1,FINAL,SA
63920,20170401,1,FINAL,SA
64033,20170401,1,PRODUCTION,SA
63954,20170401,1,Schedule #105,SA
63895,20170402,1,FINAL,SU
63921,20170402,1,FINAL,SU
64034,20170402,1,PRODUCTION,SU
63955,20170402,1,Schedule #105,SU
63917,20170403,1,FINAL,WD
63898,20170403,1,FINAL,WD
63893,20170403,1,FINAL,WD
63919,20170403,1,FINAL,WD
63896,20170403,1,FINAL,WD
63897,20170403,1,FINAL,WD
64032,20170403,1,PRODUCTION,WD
63953,20170403,1,Schedule #105,WD
63917,20170404,1,FINAL,WD
63898,20170404,1,FINAL,WD
63893,20170404,1,FINAL,WD
63919,20170404,1,FINAL,WD
63896,20170404,1,FINAL,WD
63897,20170404,1,FINAL,WD
64032,20170404,1,PRODUCTION,WD
63953,20170404,1,Schedule #105,WD
63917,20170405,1,FINAL,WD
63898,20170405,1,FINAL,WD
63893,20170405,1,FINAL,WD
63919,20170405,1,FINAL,WD
63896,20170405,1,FINAL,WD
63897,20170405,1,FINAL,WD
64032,20170405,1,PRODUCTION,WD
63953,20170405,1,Schedule #105,WD
63917,20170406,1,FINAL,WD
63898,20170406,1,FINAL,WD
63893,20170406,1,FINAL,WD
63919,20170406,1,FINAL,WD
63896,20170406,1,FINAL,WD
63897,20170406,1,FINAL,WD
64032,20170406,1,PRODUCTION,WD
63953,20170406,1,Schedule #105,WD
63917,20170407,1,FINAL,WD
63898,20170407,1,FINAL,WD
63893,20170407,1,FINAL,WD
63919,20170407,1,FINAL,WD
63896,20170407,1,FINAL,WD
63897,20170407,1,FINAL,WD
64032,20170407,1,PRODUCTION,WD
65074,20170407,1,Schedule #105,WD
63918,20170408,1,FINAL,SA
63894,20170408,1,FINAL,SA
63920,20170408,1,FINAL,SA
64033,20170408,1,PRODUCTION,SA
65075,20170408,1,Schedule #105,SA
63895,20170409,1,FINAL,SU
63921,20170409,1,FINAL,SU
64034,20170409,1,PRODUCTION,SU
65076,20170409,1,Padres Sunday,SU
63917,20170410,1,FINAL,WD
63898,20170410,1,FINAL,WD
63893,20170410,1,FINAL,WD
63919,20170410,1,FINAL,WD
63896,20170410,1,FINAL,WD
63897,20170410,1,FINAL,WD
64032,20170410,1,PRODUCTION,WD
63953,20170410,1,Schedule #105,WD
63917,20170411,1,FINAL,WD
63898,20170411,1,FINAL,WD
63893,20170411,1,FINAL,WD
63919,20170411,1,FINAL,WD
63896,20170411,1,FINAL,WD
63897,20170411,1,FINAL,WD
64032,20170411,1,PRODUCTION,WD
63953,20170411,1,Schedule #105,WD
63917,20170412,1,FINAL,WD
63898,20170412,1,FINAL,WD
63893,20170412,1,FINAL,WD
63919,20170412,1,FINAL,WD
63896,20170412,1,FINAL,WD
63897,20170412,1,FINAL,WD
64032,20170412,1,PRODUCTION,WD
63953,20170412,1,Schedule #105,WD
63917,20170413,1,FINAL,WD
63898,20170413,1,FINAL,WD
63893,20170413,1,FINAL,WD
63919,20170413,1,FINAL,WD
63896,20170413,1,FINAL,WD
63897,20170413,1,FINAL,WD
64032,20170413,1,PRODUCTION,WD
63953,20170413,1,Schedule #105,WD
63917,20170414,1,FINAL,WD
63898,20170414,1,FINAL,WD
63893,20170414,1,FINAL,WD
63919,20170414,1,FINAL,WD
63896,20170414,1,FINAL,WD
63897,20170414,1,FINAL,WD
64032,20170414,1,PRODUCTION,WD
63953,20170414,1,Schedule #105,WD
63918,20170415,1,FINAL,SA
63894,20170415,1,FINAL,SA
63920,20170415,1,FINAL,SA
64033,20170415,1,PRODUCTION,SA
63954,20170415,1,Schedule #105,SA
63895,20170416,1,FINAL,SU
63921,20170416,1,FINAL,SU
64034,20170416,1,PRODUCTION,SU
63955,20170416,1,Schedule #105,SU
63917,20170417,1,FINAL,WD
63898,20170417,1,FINAL,WD
63893,20170417,1,FINAL,WD
63919,20170417,1,FINAL,WD
63896,20170417,1,FINAL,WD
63897,20170417,1,FINAL,WD
64032,20170417,1,PRODUCTION,WD
63953,20170417,1,Schedule #105,WD
63917,20170418,1,FINAL,WD
63898,20170418,1,FINAL,WD
63893,20170418,1,FINAL,WD
63919,20170418,1,FINAL,WD
63896,20170418,1,FINAL,WD
63897,20170418,1,FINAL,WD
64032,20170418,1,PRODUCTION,WD
63953,20170418,1,Schedule #105,WD
63917,20170419,1,FINAL,WD
63898,20170419,1,FINAL,WD
63893,20170419,1,FINAL,WD
63919,20170419,1,FINAL,WD
63896,20170419,1,FINAL,WD
63897,20170419,1,FINAL,WD
64032,20170419,1,PRODUCTION,WD
63953,20170419,1,Schedule #105,WD
63917,20170420,1,FINAL,WD
63898,20170420,1,FINAL,WD
63893,20170420,1,FINAL,WD
63919,20170420,1,FINAL,WD
63896,20170420,1,FINAL,WD
63897,20170420,1,FINAL,WD
64032,20170420,1,PRODUCTION,WD
63953,20170420,1,Schedule #105,WD
63917,20170421,1,FINAL,WD
63898,20170421,1,FINAL,WD
63893,20170421,1,FINAL,WD
63919,20170421,1,FINAL,WD
63896,20170421,1,FINAL,WD
63897,20170421,1,FINAL,WD
64032,20170421,1,PRODUCTION,WD
65109,20170421,1,Padres Weekday,WD
63918,20170422,1,FINAL,SA
63894,20170422,1,FINAL,SA
63920,20170422,1,FINAL,SA
64033,20170422,1,PRODUCTION,SA
65110,20170422,1,Padres Saturday,SA
63895,20170423,1,FINAL,SU
63921,20170423,1,FINAL,SU
64034,20170423,1,PRODUCTION,SU
65076,20170423,1,Padres Sunday,SU
63917,20170424,1,FINAL,WD
63898,20170424,1,FINAL,WD
63893,20170424,1,FINAL,WD
63919,20170424,1,FINAL,WD
63896,20170424,1,FINAL,WD
63897,20170424,1,FINAL,WD
64032,20170424,1,PRODUCTION,WD
63953,20170424,1,Schedule #105,WD
63917,20170425,1,FINAL,WD
63898,20170425,1,FINAL,WD
63893,20170425,1,FINAL,WD
63919,20170425,1,FINAL,WD
63896,20170425,1,FINAL,WD
63897,20170425,1,FINAL,WD
64032,20170425,1,PRODUCTION,WD
63953,20170425,1,Schedule #105,WD
63917,20170426,1,FINAL,WD
63898,20170426,1,FINAL,WD
63893,20170426,1,FINAL,WD
63919,20170426,1,FINAL,WD
63896,20170426,1,FINAL,WD
63897,20170426,1,FINAL,WD
64032,20170426,1,PRODUCTION,WD
63953,20170426,1,Schedule #105,WD
63917,20170427,1,FINAL,WD
63898,20170427,1,FINAL,WD
63893,20170427,1,FINAL,WD
63919,20170427,1,FINAL,WD
63896,20170427,1,FINAL,WD
63897,20170427,1,FINAL,WD
64032,20170427,1,PRODUCTION,WD
63953,20170427,1,Schedule #105,WD
63917,20170428,1,FINAL,WD
63898,20170428,1,FINAL,WD
63893,20170428,1,FINAL,WD
63919,20170428,1,FINAL,WD
63896,20170428,1,FINAL,WD
63897,20170428,1,FINAL,WD
64032,20170428,1,PRODUCTION,WD
63953,20170428,1,Schedule #105,WD
63918,20170429,1,FINAL,SA
63894,20170429,1,FINAL,SA
63920,20170429,1,FINAL,SA
64033,20170429,1,PRODUCTION,SA
63954,20170429,1,Schedule #105,SA
63895,20170430,1,FINAL,SU
63921,20170430,1,FINAL,SU
64034,20170430,1,PRODUCTION,SU
63955,20170430,1,Schedule #105,SU
63917,20170501,1,FINAL,WD
63898,20170501,1,FINAL,WD
63893,20170501,1,FINAL,WD
63919,20170501,1,FINAL,WD
63896,20170501,1,FINAL,WD
63897,20170501,1,FINAL,WD
64032,20170501,1,PRODUCTION,WD
63953,20170501,1,Schedule #105,WD
63917,20170502,1,FINAL,WD
63898,20170502,1,FINAL,WD
63893,20170502,1,FINAL,WD
63919,20170502,1,FINAL,WD
63896,20170502,1,FINAL,WD
63897,20170502,1,FINAL,WD
64032,20170502,1,PRODUCTION,WD
63953,20170502,1,Schedule #105,WD
63917,20170503,1,FINAL,WD
63898,20170503,1,FINAL,WD
63893,20170503,1,FINAL,WD
63919,20170503,1,FINAL,WD
63896,20170503,1,FINAL,WD
63897,20170503,1,FINAL,WD
64032,20170503,1,PRODUCTION,WD
63953,20170503,1,Schedule #105,WD
63917,20170504,1,FINAL,WD
63898,20170504,1,FINAL,WD
63893,20170504,1,FINAL,WD
63919,20170504,1,FINAL,WD
63896,20170504,1,FINAL,WD
63897,20170504,1,FINAL,WD
64032,20170504,1,PRODUCTION,WD
63953,20170504,1,Schedule #105,WD
63917,20170505,1,FINAL,WD
63898,20170505,1,FINAL,WD
63893,20170505,1,FINAL,WD
63919,20170505,1,FINAL,WD
63896,20170505,1,FINAL,WD
63897,20170505,1,FINAL,WD
64032,20170505,1,PRODUCTION,WD
65109,20170505,1,Padres Weekday,WD
63918,20170506,1,FINAL,SA
63894,20170506,1,FINAL,SA
63920,20170506,1,FINAL,SA
64033,20170506,1,PRODUCTION,SA
65075,20170506,1,Padres Saturday,SA
63895,20170507,1,FINAL,SU
63921,20170507,1,FINAL,SU
64034,20170507,1,PRODUCTION,SU
65076,20170507,1,Padres Sunday,SU
63917,20170508,1,FINAL,WD
63898,20170508,1,FINAL,WD
63893,20170508,1,FINAL,WD
63919,20170508,1,FINAL,WD
63896,20170508,1,FINAL,WD
63897,20170508,1,FINAL,WD
64032,20170508,1,PRODUCTION,WD
63953,20170508,1,Schedule #105,WD
63917,20170509,1,FINAL,WD
63898,20170509,1,FINAL,WD
63893,20170509,1,FINAL,WD
63919,20170509,1,FINAL,WD
63896,20170509,1,FINAL,WD
63897,20170509,1,FINAL,WD
64032,20170509,1,PRODUCTION,WD
63953,20170509,1,Schedule #105,WD
63917,20170510,1,FINAL,WD
63898,20170510,1,FINAL,WD
63893,20170510,1,FINAL,WD
63919,20170510,1,FINAL,WD
63896,20170510,1,FINAL,WD
63897,20170510,1,FINAL,WD
64032,20170510,1,PRODUCTION,WD
63953,20170510,1,Schedule #105,WD
63917,20170511,1,FINAL,WD
63898,20170511,1,FINAL,WD
63893,20170511,1,FINAL,WD
63919,20170511,1,FINAL,WD
63896,20170511,1,FINAL,WD
63897,20170511,1,FINAL,WD
64032,20170511,1,PRODUCTION,WD
63953,20170511,1,Schedule #105,WD
63917,20170512,1,FINAL,WD
63898,20170512,1,FINAL,WD
63893,20170512,1,FINAL,WD
63919,20170512,1,FINAL,WD
63896,20170512,1,FINAL,WD
63897,20170512,1,FINAL,WD
64032,20170512,1,PRODUCTION,WD
63953,20170512,1,Schedule #105,WD
63918,20170513,1,FINAL,SA
63894,20170513,1,FINAL,SA
63920,20170513,1,FINAL,SA
64033,20170513,1,PRODUCTION,SA
63954,20170513,1,Schedule #105,SA
63895,20170514,1,FINAL,SU
63921,20170514,1,FINAL,SU
64034,20170514,1,PRODUCTION,SU
63955,20170514,1,Schedule #105,SU
63917,20170515,1,FINAL,WD
63898,20170515,1,FINAL,WD
63893,20170515,1,FINAL,WD
63919,20170515,1,FINAL,WD
63896,20170515,1,FINAL,WD
63897,20170515,1,FINAL,WD
64032,20170515,1,PRODUCTION,WD
63953,20170515,1,Schedule #105,WD
63917,20170516,1,FINAL,WD
63898,20170516,1,FINAL,WD
63893,20170516,1,FINAL,WD
63919,20170516,1,FINAL,WD
63896,20170516,1,FINAL,WD
63897,20170516,1,FINAL,WD
64032,20170516,1,PRODUCTION,WD
63953,20170516,1,Schedule #105,WD
63917,20170517,1,FINAL,WD
63898,20170517,1,FINAL,WD
63893,20170517,1,FINAL,WD
63919,20170517,1,FINAL,WD
63896,20170517,1,FINAL,WD
63897,20170517,1,FINAL,WD
64032,20170517,1,PRODUCTION,WD
63953,20170517,1,Schedule #105,WD
63917,20170518,1,FINAL,WD
63898,20170518,1,FINAL,WD
63893,20170518,1,FINAL,WD
63919,20170518,1,FINAL,WD
63896,20170518,1,FINAL,WD
63897,20170518,1,FINAL,WD
64032,20170518,1,PRODUCTION,WD
63953,20170518,1,Schedule #105,WD
63917,20170519,1,FINAL,WD
63898,20170519,1,FINAL,WD
63893,20170519,1,FINAL,WD
63919,20170519,1,FINAL,WD
63896,20170519,1,FINAL,WD
63897,20170519,1,FINAL,WD
64032,20170519,1,PRODUCTION,WD
63953,20170519,1,Schedule #105,WD
63918,20170520,1,FINAL,SA
63894,20170520,1,FINAL,SA
63920,20170520,1,FINAL,SA
64033,20170520,1,PRODUCTION,SA
63954,20170520,1,Schedule #105,SA
63895,20170521,1,FINAL,SU
